state,state_name,is_swing,electoral_votes,trump_votes,harris_votes,kennedy_votes,total_votes,trump_vote_share,harris_vote_share,other_vote_share,margin,winner,electoral_votes_trump,electoral_votes_harris
ID,Idaho,False,4,605246,274972,12812,905057,0.6687379910878541,0.3038173286323403,0.027444680279805567,0.36492066245551386,Trump,4,0
IL,Illinois,False,19,2449079,3062863,80426,5633310,0.43474955221708017,0.543705743159883,0.021544704623036925,-0.10895619094280279,Harris,0,19
IN,Indiana,False,11,1720347,1163603,29325,2936677,0.5858141702339072,0.39623118238743993,0.01795464737865282,0.18958298784646732,Trump,11,0
KS,Kansas,False,6,758802,544853,16322,1327591,0.5715630792917397,0.4104072715166041,0.018029649191656227,0.16115580777513555,Trump,6,0
KY,Kentucky,False,8,1337494,704043,16769,2074530,0.6447214549801642,0.33937470173967116,0.015903843280164642,0.30534675324049304,Trump,8,0
LA,Louisiana,False,8,1208505,766870,6641,2006975,0.6021524931800346,0.3821024178178602,0.015745089002105195,0.2200500753621744,Trump,8,0
MA,Massachusetts,False,11,1251303,2126518,0,3473668,0.3602252719603601,0.6121822810930694,0.027592446946570592,-0.2519570091327093,Harris,0,11
MD,Maryland,False,10,1035550,1902577,28819,3038334,0.34082823020773884,0.6261908664419382,0.032980903350323,-0.2853626362341994,Harris,0,10
ME,Maine,False,4,377977,435652,0,831375,0.45464080589385053,0.52401383250639,0.021345361599759527,-0.06937302661253947,Harris,1,3
MI,Michigan,True,15,2816636,2736533,26785,5664186,0.49727109950132287,0.48312908509713487,0.019599815401542264,0.014142014404187997,Trump,15,0
MN,Minnesota,False,10,1519032,1656979,24001,3253920,0.46683139106062843,0.5092254880267493,0.023943120912622295,-0.04239409696612084,Harris,0,10
MO,Missouri,False,10,1751986,1200599,0,2995327,0.5849064225708912,0.40082401687695535,0.014269560552153449,0.18408240569393586,Trump,10,0
MS,Mississippi,False,6,747744,466668,5387,1228008,0.6089080852893467,0.3800203256004847,0.01107158911016859,0.228887759688862,Trump,6,0
MT,Montana,False,4,352079,231906,11825,602990,0.5838886217018524,0.38459344267732465,0.031517935620822946,0.19929517902452776,Trump,4,0
NC,North Carolina,True,16,2898423,2715375,0,5699141,0.5085719058363357,0.4764533813078146,0.01497471285584967,0.0321185245285211,Trump,16,0
ND,North Dakota,False,3,246505,112327,0,368155,0.669568524127066,0.3051079029213239,0.025323572951610085,0.36446062120574213,Trump,3,0
NE,Nebraska,False,5,564816,369995,0,952182,0.5931807154514578,0.3885759235104213,0.01824336103812091,0.20460479194103648,Trump,4,1
NH,New Hampshire,False,4,395523,418488,0,826189,0.478731864016587,0.5065281672837572,0.014739968699655881,-0.02779630326717014,Harris,0,4
NJ,New Jersey,False,14,1968215,2220713,23479,4272725,0.4606463088544196,0.5197416168838388,0.019612074261741608,-0.0590953080294192,Harris,0,14
NM,New Mexico,False,5,423391,478802,9553,923403,0.4585116141056505,0.5185189998299767,0.02296938606437282,-0.060007385724326234,Harris,0,5
NV,Nevada,True,6,751205,705197,0,1484840,0.505916462379785,0.47493130572991027,0.019152231890304683,0.03098515664987478,Trump,6,0
